,order_id,customer_id,product_name,brand,raw_weight,country,order_date,unit_price
0,REC-861088,6120,perly,perly,100,morocco,2024-02-22,13
1,REC-900952,12550,prince got chocolat,lu,300,algeria,2024-11-13,1
2,REC-595965,6705,excellence noir prodigieux  cacao,lindt excellence,100,argelia,2025-02-02,12
3,REC-942653,8645,tonik,عربي,22,maroc,2024-12-11,14
4,REC-885998,14430,ssame,gerblé,230,belgium,2025-08-21,18
5,REC-674324,6760,,j. d. gross,125,austria,2024-09-08,19
6,REC-867660,8420,cristaline eau de source l,cristaline,500,belgium,2024-10-10,3
7,REC-448132,9144,henrys,henry's,42,maroc,2024-12-30,17
8,REC-202400,10397,milk chocolate bar,unknown,150,algeria,2024-08-04,11
9,REC-386572,13888,organic  dark chocolate bar,green & black's,90,france,2025-10-15,12
10,REC-965916,6325,sable coco henry s g,unknown,42,maroc,2024-07-02,2
11,REC-735024,8672,biscuits croquants au coeur onctueux de nutella,nutella,304,francia,2024-12-11,10
12,REC-866242,13720,tartine croustillante authentique,wasa,275,france,2024-12-16,6
13,REC-167785,6250,excellence noir intense  cacao,lindt,100,algérie,2024-10-26,1
14,REC-625106,12696,lightly sea salted crisps,tyrrell's,150,france,2024-09-16,1
15,REC-399127,6000,dark chocolate,green and black,90,belgium,2025-09-11,19
16,REC-506660,10724,excellence noir puissant  cacao,lindt,100,autriche,2024-12-09,14
17,REC-323330,14542,fourrs chocolat noir,bjorg,225,france,2024-08-12,22
18,REC-726018,6965,extra dark  cocoa,fin carré,100,belgium,2025-05-26,23
19,REC-799477,13302,fibres,wasa,230,belgique,2025-03-19,6
20,REC-169584,14120,henrys,henry’s,85,maroc,2024-07-02,4
21,REC-925173,6135,momo black,excelo,36,maroc,2024-10-30,22
22,REC-898017,12257,tuc original,mondelēz,100,austria,2026-01-19,12
23,REC-739815,7944,extra fine dark chocolate,lindt & sprüngli,100,australie,2024-03-13,12
24,REC-992581,8248,eyoo cover,excelo,52,morocco,2025-11-16,18
25,REC-392117,12134,tartines craquantes au sarrasin imp,ekibio,160,belgium,2025-12-09,9
26,REC-337268,14038,pomme   noisette,gerblé,230,belgium,2025-05-31,15
27,REC-974515,12699,trios,aperitivos company,20,spain,2026-01-06,24
28,REC-953482,13960,edelbitter  cacao,j. d. gross,125,de,2025-06-30,5
29,REC-212346,13782,crunchy oatshoney,nature valley,42,bélgica,2024-05-25,4
30,REC-416664,6670,figue  son,gerblé,210,belgique,2024-11-22,17
31,REC-205333,10008,bitter extra kraftig,lindt,50,australia,2024-11-27,2
32,REC-503724,7289,nestl dessert,nestlé,205,belgium,2024-10-21,12
33,REC-499346,14145,pains au lait x,pasquier,350,belgique,2024-04-08,22
34,REC-668408,14519,chocolat au lait,milka,100,algeria,2024-11-01,6
35,REC-400480,14530,brioche tranche bio g,unknown,400,france,2024-11-13,3
36,REC-837122,14656,lidl organic dark chocolate,lidl,100,belgique,2024-07-10,12
37,REC-955005,10000,mix di frutta secca,alesto,200,france,2025-05-19,19
38,REC-538001,13364,excellence noir subtil doux  cacao,lindt excellence,100,australia,2024-07-21,20
39,REC-900195,13320,la gche tranche,unknown,500,france,2025-08-04,11
40,REC-570097,7969,sour cream  onion,pringles,165,algieria,2024-10-16,20
41,REC-180568,5233,chocolat noir  cacao,dark excellente,100,morocco,2025-11-02,8
42,REC-630706,8436,granola loriginal,lu,200,belgique,2025-11-20,12
43,REC-326111,12644,cracotte crales compltes,lu,250,belgium,2024-05-06,23
44,REC-218223,7913,dark chocolate,tesco finest,100,united kingdom,2025-07-05,24
45,REC-754969,6085,pringles sare,pringles,165,armenia,2024-07-27,2
46,REC-528239,12090,wasa,barilla,270,france,2025-04-10,18
47,REC-540990,14397,henrys sable coco biscuit g,henrys,85,maroc,2025-08-06,12
48,REC-956271,13610,cracotte,lu,7,belgië,2025-01-24,24
49,REC-440963,6157,biscuit raisins,unknown,270,france,2024-06-09,16
50,REC-116337,12524,nutri avoine chocolat,bjorg,130,france,2024-03-15,1
51,REC-653437,12486,got chocolat,bn,285,belgium,2025-09-04,4
52,REC-786266,10600,digestives,mcvitie's,360,france,2025-04-03,15
53,REC-650994,6007,harrys brioche tressee nature au sucre perle sans additifs g,harrys,500,france,2025-11-06,12
54,REC-981280,12427,protein cacahuetes  chocolat,nature valley,160,belgium,2026-02-01,3
55,REC-649864,10711,figolu,lumondelez,192,france,2025-03-11,2
56,REC-745146,9008,krit krititas galletas saladas,cuétara,350,israel,2024-08-27,1
57,REC-980028,11685,crunchy avoine et miel,nature valleygeneral mills,210,france,2025-04-29,8
58,REC-918887,11878,biscuit lait chocolat,gerblé,230,belgium,2024-12-24,12
59,REC-854220,9266,toffifee,süßigkeiten,125,germany,2024-09-28,13
60,REC-321774,13910,crunchy avoine  chocolat noir x  x  barres de  g,general mills,210,france,2025-07-22,20
61,REC-770550,12930,cookie cacao ppites sans sucre,unknown,130,belgique,2025-09-29,22
62,REC-570975,13801,dark milk chocolate,tesco,100,united-kingdom,2025-12-27,24
63,REC-347253,13159,petit djeuner miel et ppites de chocolat,belvita,435,belgium,2025-03-15,7
64,REC-374982,7072,sabls anglais loriginal,mcvitie's,400,france,2024-11-30,19
65,REC-833121,6028,excellence noir cors  cacao,lindt,100,australia,2025-04-28,23
66,REC-484365,9681,,pringles,165,bulgaria,2024-02-07,2
67,REC-204232,8249,brioche moins de sucre,harrys,485,france,2025-04-30,8
68,REC-818095,14040,lentil and pea cakes with beetroot and balsamic flavour seasoning,kallo,122,united kingdom,2025-02-09,7
69,REC-553814,14094,pringles original,kellogg's,165,belgium,2025-07-04,3
70,REC-996953,5970,fourrs chocolat au lait,bjorg,225,france,2024-07-18,11
71,REC-767742,12401,pringles,unknown,40,bélgica,2024-02-25,22
72,REC-498811,7623,digestive avena choco,unknown,425,portugal,2024-02-23,12
73,REC-946193,10839,g c or noir noisette,côte d’or,180,algérie,2025-02-17,9
74,REC-662711,12233,raffaello,ferrero,150,bulgaria,2025-07-15,12
75,REC-991303,7760,barres de fruits secs  noix myrtilles,nakd.,140,bélgica,2024-09-05,3
76,REC-562005,6118,tagger,bimo,22,morocco,2024-08-08,3
77,REC-802740,13691,goter s saveur pommes,gerblé,360,france,2024-03-11,10
78,REC-723751,14512,wheat biscuits,tesco,48,united kingdom,2025-11-29,8
79,REC-379767,11844,protein cocoa hazelnut bars,nakd,135,bélgica,2024-10-12,1
80,REC-994160,11794,th  biscuits,lu,350,france,2025-04-07,2
81,REC-607612,8211,petites madeleines,st michel,500,france,2025-06-25,7
82,REC-331169,9169,goter ppites de chocolat,unknown,3,belgium,2025-09-28,1
83,REC-130025,8900,sea salt  cider vinegar chips,unknown,150,france,2024-10-10,17
84,REC-219484,5608,prncipe crema de chocolate,lu,300,francia,2025-03-21,14
85,REC-480927,14848,kinder bueno white,kinder,39,belgique,2025-09-21,19
86,REC-392540,6866,napolitain loriginal,lu,180,france,2025-11-10,24
87,REC-958052,13313,petits fours financiers,unknown,500,france,2025-09-29,12
88,REC-151159,12792,biscuits pavot citron,gerblé,200,france,2025-10-20,11
89,REC-287331,14177,the original crunchy rye breads,ryvita,250,united kingdom,2026-01-18,17
90,REC-904456,7274,pringles original,unknown,165,bélgica,2025-09-15,4
91,REC-561658,8242,blueberry muffin myrtilles,nakd,4,france,2024-05-16,5
92,REC-884876,8901,merendina big,bimo,52,morocco,2025-05-21,8
93,REC-221353,9692,belvita original petitdjeuner miel et ppites de chocolat,lu,440,belgium,2024-04-04,21
94,REC-279860,11879,vritable petit colier chocolat au lait,unknown,150,algeria,2025-11-09,11
95,REC-996817,10003,galletas fibra zero azcares,gullón,170,portugal,2024-09-27,13
96,REC-160782,9873,caramelised popcorn seasoned with sea salt,proper,28,belgium,2024-08-02,4
97,REC-221530,8033,edelbitter mild,unknown,125,belgium,2025-08-23,2
98,REC-183716,12748,vritable petit beurre pocket,lu,300,belgium,2025-11-15,11
99,REC-878584,11980,chips de lentilles saveur fines herbes,unknown,85,france,2025-07-31,1
100,REC-777037,13194,chocolat noir equateur bio,j.d. gross,100,france,2024-09-16,7
101,REC-762689,9488,biscuit complet au germe de bl,gerblé,210,france,2024-05-10,3
102,REC-789279,9528,milka galette choco,lu,260,france,2025-05-23,12
103,REC-188975,5634,multigrain crispbread,ryvita,250,france,2025-10-15,23
104,REC-476256,8438,tartines craquantes sarrasin,céréal bio,145,france,2025-03-16,12
105,REC-337130,14724,excellence noir  la pointe de fleur de sel,lindt,100,france,2025-01-07,13
106,REC-415413,5434,nakd cacahutes  g xp,nakd.,140,belgium,2025-04-14,12
107,REC-599217,6506,cream crackers,unknown,300,france,2026-01-10,14
108,REC-693740,12990,brioche tranche recette classique,harrys,485,france,2024-03-09,21
109,REC-195486,11785,sweet  salty nut chocolat noir et mlange de noix,unknown,150,belgium,2025-02-24,6
110,REC-516677,9726,cheese oatcakes,nairn's,200,france,2024-10-28,11
111,REC-146982,12015,dark chocolate,fin carré,100,finland,2026-01-29,17
112,REC-239925,12675,wholegrain wheat bixies,crownfield - lidl,720,ireland,2025-01-18,9
113,REC-109693,9652,granola lu,lu,184,france,2024-10-18,1
114,REC-441235,14293,cuites au four nature,lay’s,130,belgium,2024-09-08,12
115,REC-176522,5950,sour cream  onion chips,pringles,185,france,2025-09-29,11
116,REC-145901,9071,belvita brut   crales compltes,lu,400,belgique,2024-07-18,24
117,REC-360302,11499,chocolate negro  cacao,j. d. gross,125,francuska,2026-01-08,2
118,REC-633933,10355,goter aux raisins,gerblé,360,belgique,2024-03-28,8
119,REC-187987,6562,pringles sour cream  onion,pringles,40,austria,2024-10-22,23
120,REC-307690,13557,granola loriginal gros clats de chocolat,granola,276,france,2025-01-16,5
121,REC-921480,8300,milk chocolate with honey and almond nougat,toblerone,100,argelia,2024-04-06,22
122,REC-715337,14087,organic milk chocolate,green & black's,90,united kingdom,2024-06-17,22
123,REC-195153,7641,noir extra,poulain,100,france,2026-01-26,23
124,REC-550594,9230,le cookie chocolat noisette,bjorg,200,frankreich,2024-06-03,17
125,REC-598496,6586,tonik,bimo,121,france,2025-01-07,21
126,REC-469768,8105,tartines crales g,la boulangère,450,france,2026-01-05,12
127,REC-825324,7206,spofy,henry's,50,france,2024-11-20,16
128,REC-967946,8890,galettes st michel au beurre x  g,st michel,130,belgien,2024-05-13,10
129,REC-306391,8081,bn  casse croute biscuits,bn,400,france,2024-10-01,1
130,REC-518782,13160,goter aux corces confites,gerblé,360,francia,2025-11-15,5
131,REC-994456,14348,,j.d. gross,125,bulgarie,2024-11-27,13
132,REC-245946,5600,milka tablette noisette,milka,100,algeria,2025-07-28,18
133,REC-986860,14640,sabl saveur coco,gerblé,132,belgique,2025-03-16,13
134,REC-253786,8062,moelleux chocolat,belvita,250,belgique,2024-04-25,16
135,REC-940169,14012,capri choco,unknown,45,ma,2025-02-27,12
136,REC-908189,12873,ferrero rocher,ferrero,375,algérie,2024-12-23,24
137,REC-722929,11952,noir degustation  caramel,j. d. gross,125,france,2024-08-01,1
138,REC-215654,9846,excellence noir dlicat doux  cacao,lindt excellence,100,austria,2024-05-21,20
139,REC-107243,11322,la madeleine pur beurre,bonne maman,300,france,2025-05-21,16
140,REC-662848,7254,blueberry muffin raw fruit  nut bar,nākd,35,united kingdom,2024-08-31,20
141,REC-184393,14014,oreo original,oreo,154,austria,2024-10-15,13
142,REC-317612,6203,benco original,benco,400,france,2024-12-05,1
143,REC-421289,10212,pringles sour cream,pringles,165,bélgica,2024-04-07,18
144,REC-525010,10985,pelotazos futebolas,cheetos,32,france,2024-04-13,2
145,REC-425933,11633,apple  raisin oat bars,deliciously ella,3,france,2024-02-21,12
146,REC-958697,8352,crunchy oats and dark chocolate,unknown,42,belgique,2025-05-12,9
147,REC-137198,9309,nutri avoine complet,bjorg,130,france,2024-06-27,12
148,REC-384172,10530,cuetara digesta light g marie cookies,unknown,200,france,2025-10-20,6
149,REC-394564,14380,cacao,lactel,39,belgique,2026-01-17,7
150,REC-483457,9297,chip choco zero sin azcares,gullón,125,portugal,2025-04-29,12
151,REC-613302,12237,gingembre saveur citron,gerblé,132,france,2025-11-22,24
152,REC-756048,10104,kinder country,kinder,211,autriche,2024-08-18,19
153,REC-731114,7998,sweet  salty popcorn,proper corn,14,united kingdom,2025-09-21,16
154,REC-881552,13965,gocciole classiche pav  gr,pavesi,500,belgium,2025-10-27,17
155,REC-687196,7075,protein caramel sal cacahutes,nature valley,160,france,2025-08-17,17
156,REC-542590,8875,cocoa  dark chocolate,moser roth,125,united kingdom,2025-07-01,18
157,REC-447906,6547,noir equitable  prou,alter eco,100,belgium,2025-07-31,1
158,REC-187921,5654,nutella,ferrero,825,deutschland,2024-07-04,13
159,REC-272094,5174,oatibix,unknown,24,france,2024-07-02,13
160,REC-477529,14784,kinder cards,ferrero,128,belgien,2025-12-17,10
161,REC-563532,9187,petites madeleines ppites chocolat,st michel,400,france,2025-08-31,11
162,REC-172405,5318,pains au lait frais bio g,unknown,280,france,2025-02-20,21
163,REC-601917,6223,single origin milk chocolate,marks & spencer,100,france,2025-01-06,21
164,REC-542762,6066,petit cookies ppites de chocolat,bonne maman,250,belgium,2024-07-17,5
165,REC-600233,8833,petit colier chocolat noir pur beurre de cacao,lu,150,canada,2024-08-28,6
166,REC-120129,10797,sweet  salty popcorn,proper corn,84,united kingdom,2024-05-06,3
167,REC-614314,11805,cocoa vanilla oat boosts,graze,4,france,2024-07-20,14
168,REC-151525,5140,megachok,arluy,500,france,2024-05-28,18
169,REC-217744,7396,cranberry saveur amande,gerblé,132,frankrijk,2025-05-12,9
170,REC-737686,10860,biscuits  graines kasha,unknown,132,france,2024-08-01,21
171,REC-310932,14834,chocolat noir  madagascar,ethiquable,100,france,2025-04-19,7
172,REC-343699,13161,vritable petit beurre,lu,200,france,2024-07-26,19
173,REC-799646,10029,sabls chocolat,mcvitie's,300,france,2025-04-07,1
174,REC-452768,9793,nakd protein  cacao noisette  g xp,nakd,45,france,2024-07-03,12
175,REC-734503,14206,kinder bueno,kinder,43,algérie,2024-12-31,10
176,REC-616790,14425,shortbread fingers,walker’s,160,united kingdom,2025-09-16,1
177,REC-519560,7176,chips saveur fromage du jura,brets,125,france,2024-10-24,21
178,REC-876426,12754,top cookies,excelo,28,morocco,2025-01-16,12
179,REC-335372,13315,fine milled oatcakes,nairn's,218,frankrijk,2024-12-20,4
180,REC-824167,8454,chips de lentilles saveur tomate mozza,unknown,85,france,2025-11-14,7
181,REC-109243,7429,milka oreo,milka oreo,25,france,2025-06-08,2
182,REC-222245,8897,chocolate negro,carrefour bio,100,belgium,2025-03-28,9
183,REC-603051,7517,cocoa orange,nakd,35,royaume-uni,2025-08-06,16
184,REC-147698,13137,savane,brossard,310,france,2024-07-02,21
185,REC-909087,14717,nutabella,unknown,900,morocco,2024-07-25,18
186,REC-659364,13462,absolute black dark chocolate,montezuma's,90,españa,2025-03-30,7
187,REC-194215,6870,flash wondermint gum,flash,5,france,2024-07-23,17
188,REC-801190,13662,biscuits mega duo imp,gullón,500,francia,2025-12-15,7
189,REC-531273,9147,cooky,be,100,morocco,2024-12-22,10
190,REC-426965,14311,dark chocolate chip oat biscuits,nairn's,200,france,2024-06-21,1
191,REC-412341,14101,g lt noisette cote d or,côte d'or,180,algeria,2025-02-23,10
192,REC-842128,14185,dark chocolate,tesco finest,100,united-kingdom,2025-05-06,12
193,REC-513271,10123,merci finest selection assorted chocolates,storck,250,austria,2024-06-15,13
194,REC-901924,5988,lotus biscoff speculoos original  g xg,lotus bakeries,250,belgium,2025-10-22,6
195,REC-738096,8362,noir  intense,unknown,100,belgique,2025-02-21,23
196,REC-554502,11920,biscuits germe de bl et ppites de chocolat,lidl,200,france,2024-03-16,4
197,REC-932547,13331,nakd peanut butter protein bar,nakd,3,france,2024-05-02,16
198,REC-225200,13078,fine  gourmande noir,fine gourmande,100,france,2025-08-05,17
199,REC-700756,6550,barre crales protines peanut chocolat,nature valley,160,bélgica,2025-05-22,3
200,REC-215776,13213,cracotte chocolat,lu,200,belgique,2025-09-15,8
201,REC-528518,12571,tortilla nachips original,old el paso,185,austria,2025-12-19,12
202,REC-411150,6118,nut  fruit mix classic,alesto,200,bulgarie,2025-04-13,3
203,REC-740006,14976,baiocchi nocciola g,barilla,260,france,2026-01-18,1
204,REC-786767,11518,table water,carr's,125,france,2025-03-02,4
205,REC-546635,8778,biscoff,unknown,250,armenien,2025-09-16,11
206,REC-140146,5570,bready  pices,ferrero,132,bélgica,2025-01-10,10
207,REC-594620,8463,cheese  onion flavour potato crisps,walkers,25,united kingdom,2025-05-19,7
208,REC-116922,7404,pims sinaasappel,lu,150,belgique,2025-05-03,17
209,REC-307325,5909,dark chocolate nuts  sea salt bars,kind,3,gb,2025-07-27,19
210,REC-147375,13240,noir intense dessert,lindt,200,france,2026-01-27,5
211,REC-255248,6169,biscuits soja figue,gerblé,270,belgique,2024-10-30,5
212,REC-477166,11681,cream crackers,tesco,300,france,2024-09-01,15
213,REC-984645,13750,le petit gerbl nature,gerblé,200,fr,2024-11-20,11
214,REC-637099,10108,bastogne,lu,260,france,2024-04-02,24
215,REC-872243,7122,g ferrero rocher tablette lt,ferrero rocher,90,belgium,2025-05-18,20
216,REC-891221,7883,noix de cajou  cranberries,alesto,200,belgique,2025-08-27,12
217,REC-668354,5029,chamonix,lu,250,france,2024-03-18,12
218,REC-163360,12757,twix twin,mars wrigley,50,belgium,2024-08-28,2
219,REC-817759,11291,after eight coffret g,nestlé,300,belgium,2026-01-03,12
220,REC-919628,7157,cookie chocolat saveur noisette sans sucres,gerblé,130,france,2024-11-07,16
221,REC-653547,11328,napolitain,aiguebelle,4,morocco,2024-06-07,2
222,REC-124019,10597,biscuit chocolat saveur amande,gerblé,200,francia,2024-08-31,12
223,REC-234442,14276,sabl ssame saveur vanille   gerbl sans sucres,gerblé,132,france,2025-08-21,4
224,REC-224813,11208,gerbl  sabls sans sucres saveur citron et yuzu,unknown,132,belgique,2024-11-17,23
225,REC-886778,8143,ferrero rocher x,ferrero,200,dänemark,2024-09-12,13
226,REC-222243,8407,fakiat barbeque,leader food,18,france,2025-09-15,5
227,REC-956956,13224,sticks et bretzels dalsace,dr. oetker,300,france,2025-02-11,12
228,REC-565596,12121,sea salt  balsamic vinegar crisps,kettle,130,ireland,2024-03-27,4
229,REC-468646,11217,excellence noir orange intense,lindt,100,canada,2025-08-19,22
230,REC-706461,6671,croustison miel ssame,gerblé,200,france,2025-03-29,21
231,REC-258452,6678,pringles hot  spicy,pringles,165,croatie,2025-04-07,12
232,REC-391937,10925,sea salted,seabrook,6,united kingdom,2025-04-10,12
233,REC-541786,12292,kinder dlice pack,kinder,390,france,2026-02-04,18
234,REC-787344,8824,lemon blueberry oat boosts,graze,4,gb,2025-08-19,6
235,REC-452636,5813,bimo,merendina,36,morocco,2025-03-02,12
236,REC-431929,10622,kinder chocolate,kinder,50,algérie,2024-05-25,14
237,REC-420462,11667,cuor di cereale,galletas gullon,300,bulgaria,2025-01-03,12
238,REC-276469,9429,milk chocolate,tony's chocolonely,180,united kingdom,2024-09-26,1
239,REC-110488,12529,smoky barbecue crunch,graze,100,united kingdom,2025-01-22,12
240,REC-278242,14213,sabl nature sans sucres,gerblé,132,france,2025-02-28,20
241,REC-304978,5948,break chocolate fingers,break,31,lebanon,2024-11-29,15
242,REC-938382,10480,gifflar cannelle,pågen,260,francia,2026-02-03,23
243,REC-752253,8165,gaufres miel,bjorg,175,croatia,2025-12-24,12
244,REC-668825,9445,veg crisps,tyrrell's,125,france,2025-10-29,10
245,REC-714142,7706,top cookies original,excelo,32,morocco,2024-06-04,3
246,REC-155683,14201,tartines craquantes froment,maître jean pierre,250,belgië,2025-12-07,16
247,REC-614633,11197,cacao noir,carrefour,80,france,2025-03-30,4
248,REC-810541,10650,peanut delight,nākd,4,royaume-uni,2024-03-11,14
249,REC-891439,8216,kinder kinderini,ferrero,250,france,2026-01-02,7
250,REC-828436,12339,buscalios,risi,35,francia,2025-10-13,22
251,REC-405146,5025,peanuts roasted  salted,alesto,250,belgique,2025-02-08,21
252,REC-419555,14119,roudor,st michel,150,france,2024-03-31,1
253,REC-885496,9271,tartined craquantes chtaigne,jardin bio,150,france,2025-02-10,5
254,REC-749206,14466,kitkat,nestlé,36,ma,2024-04-28,12
255,REC-432435,12770,crunchy,be,34,maroc,2025-09-12,8
256,REC-503925,8359,chips recette paysanne nature,lays,155,france,2025-03-18,17
257,REC-801714,12355,fine milled oatcakes,nairn's,4,united kingdom,2024-08-29,9
258,REC-789642,14617,prince multicrales got chocolat au bl complet,unknown,293,france,2025-09-24,7
259,REC-501122,8459,nutella biscuits fergulf,ferrero,166,france,2025-10-28,2
260,REC-425316,8036,pringles paprika,unknown,40,franța,2025-09-25,20
261,REC-673861,8907,chocolate for change single origin  cocoa dark chocolate,coop,100,united kingdom,2024-04-26,4
262,REC-975360,8850,pain au lait bio x g,la boulangère,420,france,2026-01-26,5
263,REC-610460,8398,protein salted caramel nut,unknown,40,france,2024-11-08,7
264,REC-403782,7698,lu  grany pommes,lu,125,france,2026-01-24,24
265,REC-777889,11571,pims  framboise,lu,150,belgique,2024-12-31,5
266,REC-378766,14247,galleta ligera sin sal y sin azcar,gullón,80,francia,2025-02-13,12
267,REC-327239,13402,paahdettu maaphkin,alesto,200,france,2024-06-30,3
268,REC-326397,9991,chocolat noir  quateur intense et floral,ethiquable,100,france,2025-10-27,16
269,REC-690278,14683,chocolate negro  cacao,hacendado,100,españa,2024-12-07,3
270,REC-102120,7648,milk chocolate,fin carré,100,bulgaria,2024-09-16,6
271,REC-688832,10581,dunkle schokolade mit ganzen haselnssen,fin carré,100,belgium,2025-05-31,22
272,REC-291490,12382,biscuits fourrs aux framboises,unknown,175,france,2025-12-15,19
273,REC-740623,7606,mms peanut,mars wrigley,330,belgium,2025-03-31,21
274,REC-247388,9226,oregano crostini italian bread bites,crosta & mollica,150,france,2024-09-14,16
275,REC-118961,6135,oat biscuits,unknown,200,new zealand,2024-12-30,3
276,REC-348747,6106,excellence  la pointe de fleur de sel noir,lindt,100,bélgica,2025-04-20,12
277,REC-451588,6932,moelleux chocolat noix,unknown,138,france,2024-02-22,9
278,REC-933861,6676,ovomaltine crunchy,ovo maltine,360,belgium,2024-10-16,12
279,REC-985358,10037,chocolat bio noir,côte d'or,90,belgique,2025-06-10,12
280,REC-447978,8413,crunchy cereal bars made with whole grain rolled oats and honey,nature valley,420,france,2025-12-10,9
281,REC-783284,10364,cookies chocolate chip,sondey,225,francia,2025-02-12,2
282,REC-159182,10578,love,unknown,115,gb,2024-07-15,20
283,REC-312884,6758,digestive,hacendado,400,españa,2025-09-04,9
284,REC-417952,12417,genova  double creme,unknown,38,morocco,2025-05-09,4
285,REC-867395,10685,madagascar dark chocolate tummasuklaa,preferred selection,100,czech republic,2024-07-03,9
286,REC-597548,12785,mini bn chocolat,bn,175,belgique,2025-04-24,12
287,REC-154012,12482,biscuit fondant choco noir sans sucres ajouts,gerblé,126,francia,2025-06-23,11
288,REC-245493,8880,baguettes viennoises g,la boulangère,340,france,2024-07-04,7
289,REC-550722,5410,vritable petit colier pocket chocolat au lait,lu,250,france,2025-12-15,15
290,REC-405850,13531,shortbread fingers,paterson's,20,spain,2025-11-29,11
291,REC-758625,11017,cioccolato fondente,fin carre,200,italy,2024-10-28,5
292,REC-633365,5484,chips sel de mer et poivre noir,tyrrell’s,150,france,2025-06-04,15
293,REC-613708,9966,nestl dessert noir g,unknown,205,france,2024-12-15,3
294,REC-793167,6407,corn thins original,real foods,150,australia,2025-07-21,2
295,REC-914211,14067,marmite crunch,graze,100,france,2024-07-27,22
296,REC-236097,12806,the original cracker,ritz bakery,200,united kingdom,2025-12-22,16
297,REC-537240,7407,msli oat biscuits,emco,60,france,2025-11-25,12
298,REC-346552,9023,ginger  cocoa bar,green & black's,90,spain,2024-04-27,12
299,REC-787632,11920,barbecue lentil chips,proper,85,united kingdom,2024-11-23,4
300,REC-473925,7936,lu  grany chocolate  cereals bar x,lu,125,france,2025-06-16,14
301,REC-477514,11188,kinder riegel einzelpackung,ferrero group,100,belgium,2025-05-08,6
302,REC-528664,10267,just snax tortilla chips,sainsbury's basics,200,united kingdom,2026-01-26,11
303,REC-887059,7787,hazelnut,deliciously ella,3,united kingdom,2024-08-23,10
304,REC-756881,6573,bonne maman  quatre quarts,bonne maman,500,francia,2024-06-14,5
305,REC-436222,12499,chips saveur sel  vinaigre,unknown,125,croatie,2025-08-07,19
306,REC-594096,13112,la paille dor aux framboises,lu,170,france,2024-03-09,22
307,REC-953953,13647,choco wafer,milka,180,belgique,2025-04-06,12
308,REC-162742,12477,musli oat biscuits blueberry,emco,60,france,2024-11-07,17
309,REC-404794,8005,lightly salted potato chips,kettle,25,gb,2025-06-21,4
310,REC-411911,6538,palmito loriginal,lu,100,belgique,2025-06-03,12
311,REC-709714,9026,curly cacahute loriginal,unknown,160,canada,2025-08-21,4
312,REC-142011,11614,salt and vinegar flavour potato crisps,walkers,25,united kingdom,2026-01-15,17
313,REC-450859,14600,chocolat noir bio,côte d'or,90,belgium,2025-05-14,10
314,REC-899654,7650,chips sea salt  cider vinegar,tyrrels,150,france,2024-12-01,19
315,REC-637476,10477,ready salted crisps,tesco finest,150,united kingdom,2024-07-06,16
